Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",9.06,0,1,1,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",14.08,2,1,0,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",10.06,2,1,1,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",9.06,0,1,0,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",7.05,0,1,1,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",17.11,4,1,0,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",12.08,4,1,1,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",12.58,4,1,0,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",8.56,4,1,1,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",12.04,2,0,1,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",11.5,0,0,0,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",15.05,2,0,0,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",11.5,4,0,0,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",9,4,0,1,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",11.5,4,0,0,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",9,4,0,1,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",9,0,0,1,0,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",12.04,2,0,1,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",11.5,0,0,0,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",15.05,2,0,0,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",11.5,4,0,0,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",9,4,0,1,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,6,1.21,0,"600,000",11.5,4,0,0,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",9,4,0,1,1,50330.53816,0.5499068707791632
Namsan Cable Car,South Korea,Seoul,3,0.605,0,"600,000",9,0,0,1,1,50330.53816,0.5499068707791632
Mount Titlis Cable Car : Engelberg to Titli,Switzerland,Lucerne,30,3.02,0,"1,200,000",107.82,2,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Trubsee,Switzerland,Lucerne,30,3.02,0,"1,200,000",53.91,2,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Jochpass,Switzerland,Lucerne,30,3.02,0,"1,200,000",70.38,2,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Engstlenalp,Switzerland,Lucerne,30,3.02,0,"1,200,000",86.86,2,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Stand,Switzerland,Lucerne,30,3.02,0,"1,200,000",83.86,2,0,0,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Titlis,Switzerland,Lucerne,30,3.02,0,"1,200,000",103.33,2,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Trubsee,Switzerland,Lucerne,30,3.02,0,"1,200,000",38.94,2,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Jochpass,Switzerland,Lucerne,30,3.02,0,"1,200,000",50.92,2,0,1,0,84649.9399,1
Mount Titlis Cable Car: Engelberg to Engstlenalp,Switzerland,Lucerne,30,3.02,0,"1,200,000",62.9,2,0,1,0,84649.9399,1
